Name,Type,HP,Att,Def,Spe
Chatot,Normal,76,65,45,91
Spiritomb,Ghost,50,92,108,35
Gible,Dragon,58,70,45,42
Gabite,Dragon,68,90,65,82
Garchomp,Dragon,108,130,95,102
Mega Garchomp,Dragon,108,170,115,92
Munchlax,Normal,135,85,40,5
Riolu,Fighting,40,70,40,60
Lucario,Fighting,70,110,70,90
Mega Lucario,Fighting,70,145,88,112
Hippopotas,Ground,68,72,78,32
Hippowdon,Ground,108,112,118,47
Skorupi,Poison,40,50,90,65
Drapion,Poison,70,90,110,95
Croagunk,Poison,48,61,40,50
Toxicroak,Poison,83,106,65,85
Carnivine,Grass,74,100,72,46
Finneon,Water,49,49,56,66
Lumineon,Water,69,69,76,91
Mantyke,Water,45,20,50,50
Snover,Grass,60,62,50,40
Abomasnow,Grass,90,92,75,60
Mega Abomasnow,Grass,90,132,105,30
Weavile,Dark,70,120,65,125
Magnezone,Electric,70,70,115,60
Lickilicky,Normal,110,85,95,50
Rhyperior,Ground,115,140,130,40
Tangrowth,Grass,100,100,125,50
Electivire,Electric,75,123,67,95
Magmortar,Fire,75,95,67,83
Togekiss,Fairy,85,50,95,80
Yanmega,Bug,86,76,86,95
Leafeon,Grass,65,110,130,95
Glaceon,Ice,65,60,110,65
Gliscor,Ground,75,95,125,95
Mamoswine,Ice,110,130,80,80
Porygon-Z,Normal,85,80,70,90
Gallade,Psychic,68,125,65,80
Mega Gallade,Psychic,68,165,95,110
Probopass,Rock,60,55,145,40
Dusknoir,Ghost,45,100,135,45
Froslass,Ice,70,80,70,110
Rotom,Electric,50,50,77,91
Rotom-Wash,Electric,50,65,107,86
Rotom-Heat,Electric,50,65,107,86
Rotom-Mow,Electric,50,65,107,86
Rotom-Frost,Electric,50,65,107,86
Rotom-Fan,Electric,50,65,107,86
Uxie,Psychic,75,75,130,95
Mesprit,Psychic,80,105,105,80
Azelf,Psychic,75,125,70,115
Dialga,Steel,100,120,120,90
Palkia,Water,90,120,100,100
Heatran,Fire,91,90,106,77
Regigigas,Normal,110,160,110,100
Giratina,Ghost,150,100,120,90
Giratina-Origin,Dragon,150,120,100,90
Cresselia,Psychic,120,70,120,85
Phione,Water,80,80,80,80
Manaphy,Water,100,100,100,100
Darkrai,Dark,70,90,90,125
Shaymin,Grass,100,100,100,100
Shaymin-Sky,Grass,100,103,75,127
Arceus,Normal,120,120,120,120
Victini,Psychic,100,100,100,100
Snivy,Grass,45,45,55,63
Servine,Grass,60,60,75,83
Serperior,Grass,75,75,95,113
Tepig,Fire,65,63,45,45
Pignite,Fire,90,93,55,55
Emboar,Fire,110,123,65,65
Oshawott,Water,55,55,45,45
Dewott,Water,75,75,60,60
Samurott,Water,95,100,85,70
Patrat,Normal,45,55,39,42
Watchog,Normal,60,85,69,77
Lillipup,Normal,45,60,45,55
Herdier,Normal,65,80,65,60
Stoutland,Normal,85,110,90,80
Purrloin,Dark,41,50,37,66
Liepard,Dark,64,88,50,106
Pansage,Grass,50,53,48,64
Simisage,Grass,75,98,63,101
Pansear,Fire,50,53,48,64
Simisear,Fire,75,98,63,101
Panpour,Water,50,53,48,64
Simipour,Water,75,98,63,101
Munna,Psychic,76,25,45,24
Musharna,Psychic,116,55,85,29
Pidove,Normal,50,55,50,43
Tranquill,Normal,62,77,62,65
Unfezant,Normal,80,115,80,93
Blitzle,Electric,45,60,32,76
Zebstrika,Electric,75,100,63,116
Roggenrola,Rock,55,75,85,15
Boldore,Rock,70,105,105,20
Gigalith,Rock,85,135,130,25
Woobat,Psychic,65,45,43,72
Swoobat,Psychic,67,57,55,114
Drilbur,Ground,60,85,40,68
Excadrill,Ground,110,135,60,88
Audino,Normal,103,60,86,50
Mega Audino,Normal,103,60,126,50
Timburr,Fighting,75,80,55,35
Gurdurr,Fighting,85,105,85,40
Conkeldurr,Fighting,105,140,95,45
Tympole,Water,50,50,40,64
Palpitoad,Water,75,65,55,69
Seismitoad,Water,105,95,75,74
Throh,Fighting,120,100,85,45
Sawk,Fighting,75,125,75,85
Sewaddle,Bug,45,53,70,42
Swadloon,Bug,55,63,90,42
Leavanny,Bug,75,103,80,92
Venipede,Bug,30,45,59,57
Whirlipede,Bug,40,55,99,47
Scolipede,Bug,60,100,89,112
Cottonee,Grass,40,27,60,66
Whimsicott,Grass,60,67,85,116
Petilil,Grass,45,35,50,30
Lilligant,Grass,70,60,75,90
Basculin,Water,70,92,65,98
Sandile,Ground,50,72,35,65
Krokorok,Ground,60,82,45,74
Krookodile,Ground,95,117,80,92
Darumaka,Fire,70,90,45,50
Galarian Darumaka,Ice,70,90,45,50
Darmanitan,Fire,105,140,55,95
Darmanitan Zen-Mode,Fire,105,30,105,55
Galarian Darmanitan,Ice,105,140,55,95
Galarian Darmanitan Zen-Mode,Ice,105,160,55,135
Maractus,Grass,75,86,67,60
Dwebble,Bug,50,65,85,55
Crustle,Bug,70,105,125,45
Scraggy,Dark,50,75,70,48
Scrafty,Dark,65,90,115,58
Sigilyph,Psychic,72,58,80,97
Yamask,Ghost,38,30,85,30
Galarian Yamask,Ground,38,55,85,30
Cofagrigus,Ghost,58,50,145,30
Tirtouga,Water,54,78,103,22
Carracosta,Water,74,108,133,32
Archen,Rock,55,112,45,70
Archeops,Rock,75,140,65,110
Trubbish,Poison,50,50,62,65
Garbodor,Poison,80,95,82,75
Zorua,Dark,40,65,40,65
Zoroark,Dark,60,105,60,105
Minccino,Normal,55,50,40,75
Cinccino,Normal,75,95,60,115
Gothita,Psychic,45,30,50,45
Gothorita,Psychic,60,45,70,55
Gothitelle,Psychic,70,55,95,65
Solosis,Psychic,45,30,40,20
Duosion,Psychic,65,40,50,30
Reuniclus,Psychic,110,65,75,30
Ducklett,Water,62,44,50,55
Swanna,Water,75,87,63,98
Vanillite,Ice,36,50,50,44
Vanillish,Ice,51,65,65,59
Vanilluxe,Ice,71,95,85,79
Deerling,Normal,60,60,50,75
Sawsbuck,Normal,80,100,70,95
Emolga,Electric,55,75,60,103
Karrablast,Bug,50,75,45,60
Escavalier,Bug,70,135,105,20
Foongus,Grass,69,55,45,15
Amoonguss,Grass,114,85,70,30
Frillish,Water,55,40,50,40
Jellicent,Water,100,60,70,60
Alomomola,Water,165,75,80,65
Joltik,Bug,50,47,50,65
Galvantula,Bug,70,77,60,108
Ferroseed,Grass,44,50,91,10
Ferrothorn,Grass,74,94,131,20
Klink,Steel,40,55,70,30
Klang,Steel,60,80,95,50
Klinklang,Steel,60,100,115,90
Tynamo,Electric,35,55,40,60
Eelektrik,Electric,65,85,70,40
Eelektross,Electric,85,115,80,50
Elgyem,Psychic,55,55,55,30
Beheeyem,Psychic,75,75,75,40
Litwick,Ghost,50,30,55,20
Lampent,Ghost,60,40,60,55
Chandelure,Ghost,60,55,90,80
Axew,Dragon,46,87,60,57
Fraxure,Dragon,66,117,70,67
Haxorus,Dragon,76,147,90,97
Cubchoo,Ice,55,70,40,40
Beartic,Ice,95,130,80,50
Cryogonal,Ice,80,50,50,105
Shelmet,Bug,50,40,85,25
Accelgor,Bug,80,70,40,145
Stunfisk,Ground,109,66,84,32
Galarian Stunfisk,Ground,109,81,99,32
Mienfoo,Fighting,45,85,50,65
Mienshao,Fighting,65,125,60,105
Druddigon,Dragon,77,120,90,48
Golett,Ground,59,74,50,35
Golurk,Ground,89,124,80,55
Pawniard,Dark,45,85,70,60
Bisharp,Dark,65,125,100,70
Bouffalant,Normal,95,110,95,55
Rufflet,Normal,70,83,50,60
Braviary,Normal,100,123,75,80
Vullaby,Dark,70,55,75,60
Mandibuzz,Dark,110,65,105,80
Heatmor,Fire,85,97,66,65
Durant,Bug,58,109,112,109
Deino,Dark,52,65,50,38
Zweilous,Dark,72,85,70,58
Hydreigon,Dark,92,105,90,98
Larvesta,Bug,55,85,55,60
Volcarona,Bug,85,60,65,100
Cobalion,Steel,91,90,129,108
Terrakion,Rock,91,129,90,108
Virizion,Grass,91,90,72,108
Tornadus,Flying,79,115,70,111
Tornadus-Therian,Flying,79,100,80,121
Thundurus,Electric,79,115,70,111
Thundurus-Therian,Electric,79,105,70,101
Reshiram,Dragon,100,120,100,90
Zekrom,Dragon,100,150,120,90
Landorus,Ground,89,125,90,101
Landorus-Therian,Ground,89,145,90,91
Kyurem,Dragon,125,130,90,95
White Kyurem,Dragon,125,120,90,95
Black Kyurem,Dragon,125,170,100,95
Keldeo,Water,91,72,90,108
Meloetta,Normal,100,77,77,90
Meloetta-Pirouette,Normal,100,128,90,128
Genesect,Bug,71,120,95,99
Chespin,Grass,56,61,65,38
Quilladin,Grass,61,78,95,57
Chesnaught,Grass,88,107,122,64
Fennekin,Fire,40,45,40,60
Braixen,Fire,59,59,58,73
Delphox,Fire,75,69,72,104
Froakie,Water,41,56,40,71
Frogadier,Water,54,63,52,97
Greninja,Water,72,95,67,122
Ash-Greninja,Water,72,145,67,132
Bunnelby,Normal,38,36,38,57
Diggersby,Normal,85,56,77,78
Fletchling,Normal,45,50,43,62
Fletchinder,Fire,62,73,55,84
Talonflame,Fire,78,81,71,126
Scatterbug,Bug,38,35,40,35
Spewpa,Bug,45,22,60,29
Vivillon,Bug,80,52,50,89
Litleo,Fire,62,50,58,72
Pyroar,Fire,86,68,72,106
Flabébé,Fairy,44,38,39,42
Floette,Fairy,54,45,47,52
Florges,Fairy,78,65,68,75
Skiddo,Grass,66,65,48,52
Gogoat,Grass,123,100,62,68
Pancham,Fighting,67,82,62,43
Pangoro,Fighting,95,124,78,58
Furfrou,Normal,75,80,60,102
Espurr,Psychic,62,48,54,68
Meowstic,Psychic,74,48,76,104
Honedge,Steel,45,80,100,28
Doublade,Steel,59,110,150,35
Aegislash Shield Form,Steel,50,70,140,60
Aegislash Blade Form,Steel,50,140,70,60
Spritzee,Fairy,78,52,60,23
Aromatisse,Fairy,101,72,72,29
Swirlix,Fairy,62,48,66,49
Slurpuff,Fairy,82,80,86,72
Inkay,Dark,53,54,53,45
Malamar,Dark,86,92,88,73
Binacle,Rock,42,52,67,50
Barbaracle,Rock,72,105,115,68
Skrelp,Poison,50,60,60,30
Dragalge,Poison,65,75,90,44
Clauncher,Water,50,53,62,44
Clawitzer,Water,71,73,88,59
Helioptile,Electric,44,38,33,70
Heliolisk,Electric,62,55,52,109
Tyrunt,Rock,58,89,77,48
Tyrantrum,Rock,82,121,119,71
Amaura,Rock,77,59,50,46
Aurorus,Rock,123,77,72,58
Sylveon,Fairy,95,65,65,60
Hawlucha,Fighting,78,92,75,118
Dedenne,Electric,67,58,57,101
Carbink,Rock,50,50,150,50
Goomy,Dragon,45,50,35,40
Sliggoo,Dragon,68,75,53,60
Goodra,Dragon,90,100,70,80
Klefki,Steel,57,80,91,75
Phantump,Ghost,43,70,48,38
Trevenant,Ghost,85,110,76,56
Small Size Pumpkaboo,Ghost,44,66,70,56
Average Size Pumpkaboo,Ghost,49,66,70,51
Large Size Pumpkaboo,Ghost,54,66,70,46
Super Size Pumpkaboo,Ghost,59,66,70,41
Small Size Gourgeist,Ghost,55,85,122,99
Average Size Gourgeist,Ghost,65,90,122,84
Large Size Gourgeist,Ghost,75,95,122,69
Super Size Gourgeist,Ghost,85,100,122,54
Bergmite,Ice,55,69,85,28
Avalugg,Ice,95,117,184,28
Noibat,Flying,40,30,35,55
Noivern,Flying,85,70,80,123
Xerneas,Fairy,126,131,95,99
Yveltal,Dark,126,131,95,99
Zygarde,Dragon,108,100,121,95
Zygarde 10%,Dragon,54,100,71,115
Zygarde Complete,Dragon,216,100,121,85
Mega Diancie,Rock,50,160,110,110
Diancie,Rock,50,100,150,50
Hoopa,Psychic,80,110,60,70
Hoopa Unbound,Psychic,80,160,60,80
Volcanion,Fire,80,110,120,70
Rowlet,Grass,68,55,55,42
Dartrix,Grass,78,75,75,52
Decidueye,Grass,78,107,75,70
Litten,Fire,45,65,40,70
Torracat,Fire,65,85,50,90
Incineroar,Fire,95,115,90,60
Popplio,Water,50,54,54,40
Brionne,Water,60,69,69,50
Primarina,Water,80,74,74,60
Pikipek,Normal,35,75,30,65
Trumbeak,Normal,55,85,50,75
Toucannon,Normal,80,120,75,60
Yungoos,Normal,48,70,30,45
Gumshoos,Normal,88,110,60,45
Grubbin,Bug,47,62,45,46
Charjabug,Bug,57,82,95,36
Vikavolt,Bug,77,70,90,43
Crabrawler,Fighting,47,82,57,63
Crabominable,Fighting,97,132,77,43
Oricorio Baile Style,Fire,75,70,70,93
Oricorio Pom-Pom Style,Electric,75,70,70,93
Oricorio Pa'u Style,Psychic,75,70,70,93
Oricorio Sensu Style,Ghost,75,70,70,93
Cutiefly,Bug,40,45,40,84
Ribombee,Bug,60,55,60,124
Rockruff,Rock,45,65,40,60
Lycanroc,Rock,75,115,65,112
Lycanroc Midnight,Rock,85,115,75,82
Lycanroc Dusk,Rock,75,117,65,110
Wishiwashi,Water,45,20,20,40
Wishiwashi School,Water,45,140,130,30
Mareanie,Poison,50,53,62,45
Toxapex,Poison,50,63,152,35
Mudbray,Ground,70,100,70,45
Mudsdale,Ground,100,125,100,35
Dewpider,Water,38,40,52,27
Araquanid,Water,68,70,92,42
Fomantis,Grass,40,55,35,35
Lurantis,Grass,70,105,90,45
Morelull,Grass,40,35,55,15
Shiinotic,Grass,60,45,80,30
Salandit,Poison,48,44,40,77
Salazzle,Poison,68,64,60,117
Stufful,Normal,70,75,50,50
Bewear,Normal,120,125,80,60
Bounsweet,Grass,42,30,38,32
Steenee,Grass,52,40,48,62
Tsareena,Grass,72,120,98,72
Comfey,Fairy,51,52,90,100
Oranguru,Normal,90,60,80,60
Passimian,Fighting,100,120,90,80
Wimpod,Bug,25,35,40,80
Golisopod,Bug,75,125,140,40
Sandygast,Ghost,55,55,80,15
Palossand,Ghost,85,75,110,35
Pyukumuku,Water,55,60,130,5
Type: Null,Normal,95,95,95,59
Silvally,Normal,95,95,95,95
Minior Meteor Form,Rock,60,60,100,60
Minior Core Form,Rock,60,100,60,120
Komala,Normal,65,115,65,65
Turtonator,Fire,60,78,135,36
Togedemaru,Electric,65,98,63,96
Mimikyu,Ghost,55,90,80,96
Bruxish,Water,68,105,70,92
Drampa,Normal,78,60,85,36
Dhelmise,Ghost,70,131,100,40
Jangmo-o,Dragon,45,55,65,45
Hakamo-o,Dragon,55,75,90,65
Kommo-o,Dragon,75,110,125,85
Tapu Koko,Electric,70,115,85,130
Tapu Lele,Psychic,70,85,75,95
Tapu Bulu,Grass,70,130,115,75
Tapu Fini,Water,70,75,115,85
Cosmog,Psychic,43,29,31,37
Cosmoem,Psychic,43,29,131,37
Solgaleo,Psychic,137,137,107,97
Lunala,Psychic,137,113,89,97
Nihilego,Rock,109,53,47,103
Buzzwole,Bug,107,139,139,79
Pheromosa,Bug,71,137,37,151
Xurkitree,Electric,83,89,71,83
Celesteela,Steel,97,101,103,61
Kartana,Grass,59,181,131,109
Guzzlord,Dark,223,101,53,43
Necrozma,Psychic,97,107,101,79
Dusk Mane Necrozma,Psychic,97,157,127,77
Dawn Wings Necrozma,Psychic,97,113,109,77
Ultra Necrozma,Psychic,97,167,97,129
Magearna,Steel,80,95,115,65
Marshadow,Fighting,90,125,80,125
Poipole,Poison,67,73,67,73
Naganadel,Poison,73,73,73,121
Stakataka,Rock,61,131,211,13
Blacephalon,Fire,53,127,53,107
Zeraora,Electric,88,112,75,143
Meltan,Steel,46,65,65,34
Melmetal,Steel,135,143,143,34
Grookey,Grass,50,65,50,65
Thwackey,Grass,70,85,70,80
Rillaboom,Grass,100,125,90,85
Scorbunny,Fire,50,71,40,69
Raboot,Fire,65,86,60,94
Cinderace,Fire,80,116,75,119
Sobble,Water,50,40,40,70
Drizzile,Water,65,60,55,90
Inteleon,Water,70,85,65,120
Skwovet,Normal,70,55,55,25
Greedent,Normal,120,95,95,20
Rookidee,Flying,38,47,35,57
Corvisquire,Flying,68,67,55,77
Corviknight,Flying,98,87,105,67
Blipbug,Bug,25,20,20,45
Dottler,Bug,50,35,80,30
Orbeetle,Bug,60,45,110,90
Nickit,Dark,40,28,28,50
Thievul,Dark,70,58,58,90
Gossifleur,Grass,40,40,60,10
Eldegoss,Grass,60,50,90,60
Wooloo,Normal,42,40,55,48
Dubwool,Normal,72,80,100,88
Chewtle,Water,50,64,50,44
Drednaw,Water,90,115,90,74
Yamper,Electric,59,45,50,26
Boltund,Electric,69,90,60,121
Rolycoly,Rock,30,40,50,30
Carkol,Rock,80,60,90,50
Coalossal,Rock,110,80,120,30
Applin,Grass,40,40,80,20
Flapple,Grass,70,110,80,70
Appletun,Grass,110,85,80,30
Silicobra,Ground,52,57,75,46
Sandaconda,Ground,72,107,125,71
Cramorant,Flying,70,85,55,85
Arrokuda,Water,41,63,40,66
Barraskewda,Water,61,123,60,136
Toxel,Electric,40,38,35,40
Toxtricity,Electric,75,98,70,75
Sizzlipede,Fire,50,65,45,45
Centiskorch,Fire,100,115,65,65
Clobbopus,Fighting,50,68,60,32
Grapploct,Fighting,80,118,90,42
Sinistea,Ghost,40,45,45,50
Polteageist,Ghost,60,65,65,70
Hatenna,Psychic,42,30,45,39
Hattrem,Psychic,57,40,65,49
Hatterene,Psychic,57,90,95,29
Impidimp,Dark,45,45,30,50
Morgrem,Dark,65,60,45,70
Grimmsnarl,Dark,95,120,65,60
Obstagoon,Dark,93,90,101,95
Perrserker,Steel,70,110,100,50
Cursola,Ghost,60,95,50,30
Sirfetch'd,Fighting,62,135,95,65
Mr. Rime,Ice,80,85,75,70
Runerigus,Ground,58,95,145,30
Milcery,Fairy,45,40,40,34
Alcremie,Fairy,65,60,75,64
Falinks,Fighting,65,100,100,75
Pincurchin,Electric,48,101,95,15
Snom,Ice,30,25,35,20
Frosmoth,Ice,70,65,60,65
Stonjourner,Rock,100,125,135,70
Eiscue,Ice,75,80,110,50
Eiscue Noice Face,Ice,75,80,70,130
Indeedee,Psychic,60,65,55,95
Morpeko,Electric,58,95,58,97
Cufant,Steel,72,80,49,40
Copperajah,Steel,122,130,69,30
Dracozolt,Electric,90,100,90,75
Arctozolt,Electric,90,100,90,55
Dracovish,Water,90,90,100,75
Arctovish,Water,90,90,100,55
Duraludon,Steel,70,95,115,85
Dreepy,Dragon,28,60,30,82
Drakloak,Dragon,68,80,50,102
Dragapult,Dragon,88,120,75,142
Zacian,Fairy,92,130,115,138
Zacian Crowned Sword,Fairy,92,170,115,148
Zamazenta,Fighting,92,130,115,138
Zamazenta Crowned Shield,Fighting,92,130,145,128
Eternatus,Poison,140,85,95,130
Kubfu,Fighting,60,90,60,72
Urshifu Rapid Strike Style,Fighting,100,130,100,97
Urshifu Single Strike Style,Fighting,100,130,100,97
Zarude,Dark,105,120,105,105
Regieleki,Electric,80,100,50,200
Regidrago,Dragon,200,100,50,80
Glastrier,Ice,100,145,130,30
Spectrier,Ghost,100,65,60,130
Calyrex,Psychic,100,80,80,80
Calyrex Ice Rider,Psychic,100,165,150,50
Calyrex Shadow Rider,Psychic,100,85,80,150
